IP,time stemp,counter
10.0.0.36,1544944863.44,0
10.0.0.7,1544944863.9,1
10.0.0.7,1544944863.92,2
10.0.0.7,1544944863.94,3
10.0.0.7,1544944863.95,4
10.0.0.7,1544944863.98,5
10.0.0.7,1544944863.98,6
10.0.0.7,1544944863.99,7
10.0.0.7,1544944864.0,8
10.0.0.36,1544944864.03,9
10.0.0.36,1544944864.04,10
10.0.0.36,1544944864.05,11
10.0.0.36,1544944864.05,12
10.0.0.36,1544944864.06,13
10.0.0.36,1544944864.09,14
10.0.0.36,1544944864.1,15
10.0.0.7,1544944864.58,16
10.0.0.7,1544944866.03,17
10.0.0.7,1544944866.09,18
10.0.0.7,1544944866.11,19
10.0.0.36,1544944866.13,20
10.0.0.36,1544944866.14,21
10.0.0.7,1544944866.42,22
10.0.0.7,1544944866.47,23
10.0.0.7,1544944866.47,24
10.0.0.7,1544944866.52,25
10.0.0.7,1544944866.54,26
10.0.0.36,1544944866.64,27
10.0.0.36,1544944866.71,28
10.0.0.36,1544944866.72,29
10.0.0.36,1544944866.73,30
10.0.0.36,1544944866.86,31
10.0.0.7,1544944867.09,32
10.0.0.7,1544944867.52,33
10.0.0.7,1544944868.17,34
10.0.0.36,1544944868.19,35
10.0.0.7,1544944868.25,36
10.0.0.7,1544944868.28,37
10.0.0.7,1544944868.35,38
10.0.0.36,1544944868.36,39
10.0.0.36,1544944868.48,40
10.0.0.7,1544944868.76,41
10.0.0.7,1544944868.78,42
10.0.0.7,1544944868.9,43
10.0.0.7,1544944868.91,44
10.0.0.7,1544944868.93,45
10.0.0.7,1544944868.96,46
10.0.0.7,1544944868.99,47
10.0.0.7,1544944869.01,48
10.0.0.36,1544944869.02,49
10.0.0.36,1544944869.03,50
10.0.0.36,1544944869.05,51
10.0.0.36,1544944869.14,52
10.0.0.7,1544944869.46,53
10.0.0.36,1544944869.53,54
10.0.0.7,1544944869.61,55
10.0.0.7,1544944869.8,56
10.0.0.7,1544944870.27,57
10.0.0.7,1544944870.33,58
10.0.0.36,1544944870.37,59
10.0.0.7,1544944870.53,60
10.0.0.36,1544944870.75,61
